level,question,answer,correct,incorrect,AverageTime,LastAsked,Accuracy
1,5+□=10、□は？,5,0,0,0,2025-01-27 23:37:16.435798,0
1,1+□=10、□は？,9,0,0,0,2025-01-27 23:37:19.659636,0
1,3+□=10、□は？,7,0,0,0,2025-01-27 23:23:21.761469,0
1,7+□=10、□は？,3,0,0,0,2025-01-27 23:23:32.531258,0
1,9+□=10、□は？,1,0,0,0,2025-01-27 23:23:34.694575,0
1,2+□=10、□は？,8,0,0,0,2025-01-27 23:23:26.571992,0
1,8+□=10、□は？,2,0,0,0,2025-01-27 23:23:23.982777,0
1,4+□=10、□は？,6,0,0,0,2025-01-27 23:23:30.306300,0
1,6+□=10、□は？,4,0,0,0,2025-01-27 23:23:37.059531,0
2,9-6=,3,0,0,0,2025-01-27 22:43:05.886602,0
2,9-7=,2,0,0,0,2025-01-27 22:43:08.923899,0
2,8-0=,8,0,0,0,2025-01-27 22:43:11.875674,0
2,8-1=,7,0,0,0,2025-01-27 22:43:14.469557,0
2,8-2=,6,0,0,0,2025-01-27 22:43:17.086486,0
2,8-3=,5,0,0,0,2025-01-27 22:43:20.190637,0
2,8-4=,4,0,0,0,2025-01-27 22:43:22.445599,0
2,8-6=,2,0,0,0,2025-01-27 22:43:25.399435,0
2,8-8=,0,0,0,0,2025-01-27 22:43:29.253562,0
2,7-0=,7,0,0,0,2025-01-27 22:43:32.001947,0
2,7-1=,6,0,0,0,2025-01-27 22:43:34.749787,0
2,7-3=,4,0,0,0,2025-01-27 22:43:37.245736,0
2,6-0=,6,0,0,0,2025-01-27 22:43:41.485573,0
2,6-1=,5,0,0,0,2025-01-27 22:43:44.453607,0
2,6-2=,4,0,0,0,2025-01-27 22:43:47.325153,0
2,6-4=,2,0,0,0,2025-01-27 22:43:50.535595,0
2,5-0=,5,0,0,0,2025-01-27 22:43:52.806976,0
2,5-2=,3,0,0,0,2025-01-27 22:43:55.214896,0
2,5-3=,2,0,0,0,2025-01-27 22:43:57.365743,0
2,5-4=,1,0,0,0,2025-01-27 22:43:59.583108,0
2,4-1=,3,0,0,0,2025-01-27 22:44:01.991605,0
2,4-2=,2,0,0,0,2025-01-27 22:44:05.446584,0
2,4-3=,1,0,0,0,2025-01-27 22:44:07.934632,0
2,4-4=,0,0,0,0,2025-01-27 22:44:10.933796,0
2,3-1=,2,0,0,0,2025-01-27 22:44:13.558533,0
2,3-3=,0,0,0,0,2025-01-27 22:44:16.532481,0
