question,answer,correct,incorrect,AverageTime,LastAsked,Elapsed,CorrectRate
18 × 4 =,72,4,5,inf,2025-01-26 23:08:39.371333,1284.795734,0.375
18 × 5 =,90,0,9,inf,2025-01-26 23:08:39.455750,1284.710419,0.0
18 × 6 =,108,0,9,inf,2025-01-26 23:08:39.530738,1284.597417,0.0
18 × 7 =,126,0,9,inf,2025-01-26 23:08:39.676815,1284.517532,0.0
18 × 8 =,144,0,9,inf,2025-01-26 23:08:39.798602,1284.458386,0.0
18 × 9 =,162,0,9,inf,2025-01-26 23:08:39.905537,1284.413965,0.0
19 × 1 =,19,1,8,inf,2025-01-26 23:08:39.976658,1284.366681,0.125
19 × 2 =,38,0,9,inf,2025-01-26 23:08:40.063964,1284.309151,0.0
19 × 3 =,57,0,9,inf,2025-01-26 23:08:40.143910,1284.213543,0.0
19 × 4 =,76,3,6,inf,2025-01-26 23:08:40.242310,1284.134198,0.375
19 × 5 =,95,0,9,inf,2025-01-26 23:08:40.303221,1284.065865,0.0
19 × 6 =,114,0,9,inf,2025-01-26 23:08:40.367470,1283.9912,0.0
19 × 7 =,133,0,9,inf,2025-01-26 23:08:40.411755,1283.948131,0.0
19 × 8 =,152,0,9,inf,2025-01-26 23:08:40.521014,1283.908973,0.0
19 × 9 =,171,0,9,inf,2025-01-26 23:08:40.577104,1283.862221,0.0
9-0=,9,3,8,inf,2025-01-26 23:08:40.647509,1283.781638,0.3
9-1=,8,1,10,inf,2025-01-26 23:08:40.748632,1283.723762,0.1
9-5=,4,0,10,inf,2025-01-26 23:08:40.851726,1283.422703,0.0
9-6=,3,0,10,inf,2025-01-26 23:08:40.947756,1283.336084,0.0
9-7=,2,0,10,inf,2025-01-26 23:08:41.058449,1283.279867,0.0
9-8=,1,1,9,inf,2025-01-26 23:08:41.141268,1283.184952,0.1111111111111111
9-9=,0,1,9,inf,2025-01-26 23:08:41.209934,1283.115066,0.1111111111111111
8-0=,8,0,10,inf,2025-01-26 23:08:41.261909,1283.042835,0.0
8-1=,7,0,10,inf,2025-01-26 23:08:41.371630,1282.956994,0.0
8-2=,6,0,10,inf,2025-01-26 23:08:41.445091,1282.844256,0.0
8-3=,5,0,10,inf,2025-01-26 23:08:41.526855,1282.775299,0.0
8-4=,4,0,10,inf,2025-01-26 23:08:41.655425,1282.711562,0.0
8-5=,3,1,9,inf,2025-01-26 23:08:41.744803,1282.652542,0.1111111111111111
8-6=,2,0,10,inf,2025-01-26 23:08:41.809377,1282.558415,0.0
8-7=,1,1,9,inf,2025-01-26 23:08:41.843520,1282.467693,0.1111111111111111
8-8=,0,0,10,inf,2025-01-26 23:08:41.912232,1282.411823,0.0
7-0=,7,0,10,inf,2025-01-26 23:08:41.985638,1282.346755,0.0
7-1=,6,0,10,inf,2025-01-26 23:08:42.083497,1282.294072,0.0
7-2=,5,1,9,inf,2025-01-26 23:08:42.169822,1282.252026,0.1111111111111111
7-3=,4,0,10,inf,2025-01-26 23:08:42.231759,1282.194583,0.0
7-4=,3,2,8,inf,2025-01-26 23:14:46.073852,1282.101087,0.1111111111111111
7-5=,2,1,9,inf,2025-01-26 23:15:19.673120,1282.011516,0.0
7-6=,1,1,9,inf,2025-01-26 23:15:32.893144,1281.915745,0.0
7-7=,0,1,8,inf,2025-01-26 22:47:07.026085,1281.855011,0.1111111111111111
6-0=,6,0,9,inf,2025-01-26 22:47:07.112910,1281.768186,0.0
6-1=,5,0,9,inf,2025-01-26 22:47:07.159058,1281.722038,0.0
6-2=,4,0,9,inf,2025-01-26 22:47:07.201258,1281.679838,0.0
6-3=,3,1,8,inf,2025-01-26 22:47:07.249127,1281.631969,0.1111111111111111
6-4=,2,0,9,inf,2025-01-26 22:47:07.287800,1281.593296,0.0
6-5=,1,1,8,inf,2025-01-26 22:47:07.391268,1281.489828,0.1111111111111111
6-6=,0,1,8,inf,2025-01-26 22:47:07.451896,1281.4292,0.1111111111111111
5-0=,5,0,9,inf,2025-01-26 22:47:07.551872,1281.329224,0.0
5-1=,4,1,8,inf,2025-01-26 22:47:07.616913,1281.264183,0.1111111111111111
5-2=,3,0,9,inf,2025-01-26 22:47:07.697176,1281.18392,0.0
5-3=,2,0,9,inf,2025-01-26 22:47:07.738173,1281.142923,0.0
5-4=,1,0,9,inf,2025-01-26 22:47:07.816001,1281.065095,0.0
5-5=,0,3,6,inf,2025-01-26 22:47:07.874543,1281.006553,0.3333333333333333
4-0=,4,1,8,inf,2025-01-26 22:47:07.922972,1280.958124,0.1111111111111111
4-1=,3,0,9,inf,2025-01-26 22:47:08.011161,1280.869935,0.0
4-2=,2,0,9,inf,2025-01-26 22:47:08.106500,1280.774596,0.0
4-3=,1,0,9,inf,2025-01-26 22:47:08.171031,1280.710065,0.0
4-4=,0,0,9,inf,2025-01-26 22:47:08.238770,1280.642326,0.0
3-0=,3,1,8,inf,2025-01-26 22:47:08.318211,1280.562885,0.1111111111111111
3-1=,2,0,9,inf,2025-01-26 22:47:08.415084,1280.466012,0.0
3-2=,1,1,8,inf,2025-01-26 22:47:08.479373,1280.401723,0.1111111111111111
3-3=,0,0,9,inf,2025-01-26 22:47:08.540498,1280.340598,0.0
2-0=,2,0,9,inf,2025-01-26 22:47:08.600487,1280.280609,0.0
2-1=,1,0,9,inf,2025-01-26 22:47:08.651160,1280.229936,0.0
2-2=,0,0,9,inf,2025-01-26 22:47:08.690122,1280.190974,0.0
1-0=,1,0,9,inf,2025-01-26 22:47:08.745703,1280.135393,0.0
1-1=,0,1,8,inf,2025-01-26 22:47:08.833355,1280.047741,0.1111111111111111
